Rep	Plant_ID	Genotype	Variety	Crop_type	Wash_HR_MAX_leaf_1	Wash_HR_MAX_leaf_2	Wash_HR_MAX_plant
1	1_B3	B3	Rapid_cycling	Rapid_cycling	1	1	1
2	2_B3	B3	Rapid_cycling	Rapid_cycling	1	1	1
3	3_B3	B3	Rapid_cycling	Rapid_cycling	1	1	1
4	4_B3	B3	Rapid_cycling	Rapid_cycling	2	2	2
5	5_B3	B3	Rapid_cycling	Rapid_cycling	1	1	1
1	1_BB-35	BB-35	Rapid_cycling	Rapid_cycling	0	NA	0
3	3_BB-35	BB-35	Rapid_cycling	Rapid_cycling	0	1	1
4	4_BB-35	BB-35	Rapid_cycling	Rapid_cycling	1	1	1
1	1_BRO-028	BRO-028	Broccoletto	Broccoletto	1	1	1
2	2_BRO-028	BRO-028	Broccoletto	Broccoletto	0	0	0
3	3_BRO-028	BRO-028	Broccoletto	Broccoletto	0	0	0
4	4_BRO-028	BRO-028	Broccoletto	Broccoletto	1	1	1
5	5_BRO-028	BRO-028	Broccoletto	Broccoletto	1	1	1
1	1_BRO-030_DH	BRO-030_DH	Broccoletto	Broccoletto	1	0	1
2	2_BRO-030_DH	BRO-030_DH	Broccoletto	Broccoletto	0	1	1
3	3_BRO-030_DH	BRO-030_DH	Broccoletto	Broccoletto	1	1	1
4	4_BRO-030_DH	BRO-030_DH	Broccoletto	Broccoletto	1	1	1
5	5_BRO-030_DH	BRO-030_DH	Broccoletto	Broccoletto	0	1	1
1	1_BRO-103	BRO-103	Broccoletto(Caixin)	Caixin	2	1	2
2	2_BRO-103	BRO-103	Broccoletto(Caixin)	Caixin	0	0	0
3	3_BRO-103	BRO-103	Broccoletto(Caixin)	Caixin	0	1	1
4	4_BRO-103	BRO-103	Broccoletto(Caixin)	Caixin	1	1	1
5	5_BRO-103	BRO-103	Broccoletto(Caixin)	Caixin	2	2	2
1	1_BRO-127	BRO-127	Broccoletto(Turnip_Geen)	Turnip_Green	2	2	2
2	2_BRO-127	BRO-127	Broccoletto(Turnip_Geen)	Turnip_Green	1	1	1
3	3_BRO-127	BRO-127	Broccoletto(Turnip_Geen)	Turnip_Green	0	0	0
4	4_BRO-127	BRO-127	Broccoletto(Turnip_Geen)	Turnip_Green	2	1	2
5	5_BRO-127	BRO-127	Broccoletto(Turnip_Geen)	Turnip_Green	1	1	1
1	1_CC-048	CC-048	Chinese_Cabbage	Chinese_Cabbage	2	2	2
2	2_CC-048	CC-048	Chinese_Cabbage	Chinese_Cabbage	0	0	0
3	3_CC-048	CC-048	Chinese_Cabbage	Chinese_Cabbage	2	2	2
4	4_CC-048	CC-048	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-048	CC-048	Chinese_Cabbage	Chinese_Cabbage	2	2	2
1	1_CC-050	CC-050	Chinese_Cabbage	Chinese_Cabbage	2	2	2
2	2_CC-050	CC-050	Chinese_Cabbage	Chinese_Cabbage	2	0	2
3	3_CC-050	CC-050	Chinese_Cabbage	Chinese_Cabbage	1	1	1
4	4_CC-050	CC-050	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-050	CC-050	Chinese_Cabbage	Chinese_Cabbage	2	2	2
1	1_CC-058	CC-058	Chinese_Cabbage	Chinese_Cabbage	2	2	2
2	2_CC-058	CC-058	Chinese_Cabbage	Chinese_Cabbage	2	2	2
3	3_CC-058	CC-058	Chinese_Cabbage	Chinese_Cabbage	2	2	2
4	4_CC-058	CC-058	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-058	CC-058	Chinese_Cabbage	Chinese_Cabbage	2	2	2
1	1_CC-061	CC-061	Chinese_Cabbage	Chinese_Cabbage	1	0	1
2	2_CC-061	CC-061	Chinese_Cabbage	Chinese_Cabbage	0	1	1
3	3_CC-061	CC-061	Chinese_Cabbage	Chinese_Cabbage	0	0	0
4	4_CC-061	CC-061	Chinese_Cabbage	Chinese_Cabbage	1	1	1
5	5_CC-061	CC-061	Chinese_Cabbage	Chinese_Cabbage	0	0	0
1	1_CC-063	CC-063	Chinese_Cabbage	Chinese_Cabbage	2	1	2
2	2_CC-063	CC-063	Chinese_Cabbage	Chinese_Cabbage	0	0	0
3	3_CC-063	CC-063	Chinese_Cabbage	Chinese_Cabbage	1	1	1
4	4_CC-063	CC-063	Chinese_Cabbage	Chinese_Cabbage	2	1	2
5	5_CC-063	CC-063	Chinese_Cabbage	Chinese_Cabbage	0	0	0
1	1_CC-072	CC-072	Chinese_Cabbage	Chinese_Cabbage	0	0	0
2	2_CC-072	CC-072	Chinese_Cabbage	Chinese_Cabbage	0	1	1
3	3_CC-072	CC-072	Chinese_Cabbage	Chinese_Cabbage	0	0	0
4	4_CC-072	CC-072	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-072	CC-072	Chinese_Cabbage	Chinese_Cabbage	0	0	0
1	1_CC-106	CC-106	Chinese_Cabbage	Chinese_Cabbage	0	0	0
2	2_CC-106	CC-106	Chinese_Cabbage	Chinese_Cabbage	0	NA	0
3	3_CC-106	CC-106	Chinese_Cabbage	Chinese_Cabbage	0	0	0
4	4_CC-106	CC-106	Chinese_Cabbage	Chinese_Cabbage	0	0	0
5	5_CC-106	CC-106	Chinese_Cabbage	Chinese_Cabbage	0	0	0
1	1_CC-112	CC-112	Chinese_Cabbage	Chinese_Cabbage	1	1	1
2	2_CC-112	CC-112	Chinese_Cabbage	Chinese_Cabbage	0	1	1
3	3_CC-112	CC-112	Chinese_Cabbage	Chinese_Cabbage	1	1	1
4	4_CC-112	CC-112	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-112	CC-112	Chinese_Cabbage	Chinese_Cabbage	2	1	2
1	1_CC-114	CC-114	Chinese_Cabbage	Chinese_Cabbage	2	2	2
2	2_CC-114	CC-114	Chinese_Cabbage	Chinese_Cabbage	0	0	0
3	3_CC-114	CC-114	Chinese_Cabbage	Chinese_Cabbage	1	2	2
4	4_CC-114	CC-114	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-114	CC-114	Chinese_Cabbage	Chinese_Cabbage	2	2	2
1	1_CC-168	CC-168	Chinese_Cabbage	Chinese_Cabbage	2	2	2
2	2_CC-168	CC-168	Chinese_Cabbage	Chinese_Cabbage	0	0	0
3	3_CC-168	CC-168	Chinese_Cabbage	Chinese_Cabbage	2	2	2
4	4_CC-168	CC-168	Chinese_Cabbage	Chinese_Cabbage	2	2	2
5	5_CC-168	CC-168	Chinese_Cabbage	Chinese_Cabbage	2	2	2
1	1_CC-A003_DH	CC-A003_DH	Chinese_Cabbage	Chinese_Cabbage	1	2	2
2	2_CC-A003_DH	CC-A003_DH	Chinese_Cabbage	Chinese_Cabbage	0	1	1
3	3_CC-A003_DH	CC-A003_DH	Chinese_Cabbage	Chinese_Cabbage	0	0	0
4	4_CC-A003_DH	CC-A003_DH	Chinese_Cabbage	Chinese_Cabbage	1	1	1
5	5_CC-A003_DH	CC-A003_DH	Chinese_Cabbage	Chinese_Cabbage	2	2	2
1	1_cCC-098	cCC-098	Chinese_Cabbage	Chinese_Cabbage	0	0	0
2	2_cCC-098	cCC-098	Chinese_Cabbage	Chinese_Cabbage	0	0	0
3	3_cCC-098	cCC-098	Chinese_Cabbage	Chinese_Cabbage	0	1	1
