Repeat	RIL_genotype	Method	Response	Type
1	101	Manual	0.98	point
2	101	Manual	2.13	point
3	101	Manual	2.31	point
4	101	Manual	1.26	point
5	101	Manual	1.75	point
6	101	Manual	0.83	point
7	101	Manual	1.91	point
8	101	Manual	2.67	point
9	101	Manual	1.35	point
10	101	Manual	1.59	point
1	101	WEKA	1.64	point
2	101	WEKA	1.63	point
3	101	WEKA	1.27	point
4	101	WEKA	1.31	point
5	101	WEKA	1.59	point
6	101	WEKA	1.69	point
7	101	WEKA	1.61	point
8	101	WEKA	1.24	point
9	101	WEKA	1.36	point
10	101	WEKA	1.59	point
1	35	Manual	3.75	point
2	35	Manual	2.90	point
3	35	Manual	3.38	point
4	35	Manual	3.91	point
5	35	Manual	2.64	point
6	35	Manual	3.89	point
7	35	Manual	2.71	point
8	35	Manual	3.58	point
9	35	Manual	3.26	point
10	35	Manual	2.73	point
1	35	WEKA	3.31	point
2	35	WEKA	3.33	point
3	35	WEKA	3.30	point
4	35	WEKA	3.21	point
5	35	WEKA	3.23	point
6	35	WEKA	3.39	point
7	35	WEKA	3.36	point
8	35	WEKA	3.28	point
9	35	WEKA	3.26	point
10	35	WEKA	3.27	point
